Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Data Analyst,Ibn Sina Pharma,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 1 - 3 Yrs of Exp,"· IT/Software Development, · Analyst/Research, · Analysis, · analytical, · Commerce, · BI, · Communication skills, · Computer Science, Data Analysis, · Information Technology (IT)",Egypt
MIS / Data Analyst,GOLD ERA  ,"Abbassia, Cairo, Egypt","Full Time, On-site",N/A, 5 - 10 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Sales/Retail, · MIS, Data Analysis, · Business Analysis, · Power BI",Egypt
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI,"Nasr City, Cairo, Egypt","Full Time, Hybrid",Entry Level, 0 - 3 Yrs of Exp,"· IT/Software Development, · Analyst/Research, Data Analysis, Database SQL Server, · MySQL, Data Analytics, Big Data Analytics, · Microsoft Excel, · Power BI, · Microsoft Power BI",Egypt
Data Analyst,National technology group,"6th of October, Giza, Egypt","Full Time, On-site",N/A, 2 - 5 Yrs of Exp,"Experienced, · Analyst/Research, · Analysis, · SQL, · Power BI, · Microsoft Excel, · Python",Egypt
Data Analyst,Egyptian Company for Cosmetics,"Nasr City, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Analyst/Research, · Analysis, Data Analysis, · Microsoft Excel, · Power BI, Data Mapping, Data analysis, · Microsoft excel, · Power bi, Data mapping",Egypt
Data Analyst,MINISO LIFE,"Cairo, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Collect, organize, and analyze data from multiple sources., · Prepare reports and dashboards for management., · Provide insights and recommendations to improve performance and support decision-making., · Collaborate with different teams to support company objectives., · Bachelor’s degree in Statistics, Mathematics, Computer Science, or a related field., Experience in data analysis and using BI tools (such as Excel, Power BI, or Tableau)., Strong analytical skills with the ability to interpret data accurately.",Egypt
Data Analyst,Top Chef ,"Obour City, Cairo, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Microsoft Excel, · Power BI, · PivotTables, Data analysis, · Microsoft excel, · Power bi",Egypt
Data Analyst,Sakr Group,"Nasr City, Cairo, Egypt","Full Time, On-site",N/A, 1 - 3 Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · SAP, · Power BI, · Tableau, · Microsoft Office",Egypt
Junior Data Analyst,Wadi Group,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· Operations/Management, · Analyst/Research, Data Analysis, Data Analytics, · Statistical Analysis, · Planning, · Organizing, · Communication, · Critical thinking, · Report writing",Egypt
Financial Analyst,willys kitchen-Egypt,"Obour City, Cairo, Egypt","Full Time, On-site",N/A, 5 - 5 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Accounting, · Finance, · Financial, · Financial Analysis, · Commerce, Financial Data Analysis",Egypt
Senior Data Analyst,Al Ahly capital holding Al Ahly Tamkeen,"Zamalek, Cairo, Egypt","Full Time, On-site",N/A, 5 - 7 Yrs of Exp,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Microsoft SQL, · SQL, · Power BI",Egypt
Senior Investment Analyst,IGI-Group,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",N/A, 5+ Yrs of Exp,"Experienced, · Accounting/Finance, · Banking, · Analyst/Research, · Analysis, · Business Analysis, · Investment, · Finance, · Financial Accounting, Financial Data Analysis, · Finance Management",Egypt
